Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Dennis Buzukja,Connor Matthews,Featherweight,KO/TKO Punch,3,0:22,Win,75%,16,12,4,0,4.16,42%,5.09,45%,0.8,30%,72%,0.3,78%,9,7,2,0,5.3,44%,6.19,56%,2.97,53%,50%,0.7
Ibo Aslan,Anton Turkalj,Light Heavyweight,KO/TKO Punch,3,1:32,Win,93%,14,13,1,0,6.83,45%,4.53,64%,0,0%,100%,0,67%,12,8,4,0,2.45,42%,3.42,54%,4.98,41%,16%,0
Jacob Malkoun,Andre Petroski,Middleweight,KO/TKO Kick,2,0:39,Win,73%,11,8,3,0,3.86,56%,2.48,52%,6.62,42%,20%,0.4,71%,14,10,4,0,3.5,49%,3.08,51%,4.32,54%,80%,2.3
Caolan Loughran,Angel Pacheco,Bantamweight,U-DEC,3,5:00,Win,90%,10,9,1,0,6.27,47%,5.73,56%,2.5,33%,0%,0,70%,10,7,3,0,9.5,39%,11.47,41%,0,0%,28%,0
Rose Namajunas,Amanda Ribas,Women's Flyweight,U-DEC,5,5:00,Win,68%,19,13,6,0,3.69,41%,3.51,63%,1.38,47%,59%,0.5,71%,17,12,5,0,4.63,40%,3.4,61%,2.07,51%,85%,0.7
Karl Williams,Justin Tafa,Heavyweight,U-DEC,3,5:00,Win,91%,11,10,1,0,2.87,52%,1.7,60%,4.75,50%,100%,0.2,64%,11,7,4,0,4.09,54%,5.02,47%,0,0%,50%,0
Edmen Shahbazyan,AJ Dobson,Middleweight,KO/TKO Punches,1,4:33,Win,76%,17,13,4,0,3.6,52%,4.09,45%,2.24,38%,63%,0.6,70%,10,7,3,0,4.29,46%,5.31,46%,1.67,75%,65%,0.3
Payton Talbott,Cameron Saaiman,Bantamweight,KO/TKO Punches,2,0:21,Win,100%,8,8,0,0,8.05,54%,3.58,51%,0,0%,90%,0.5,82%,11,9,2,0,5.32,46%,4.18,51%,0.91,28%,47%,0.7
Youssef Zalal,Billy Quarantillo,Featherweight,SUB Rear Naked Choke,2,1:50,Win,70%,20,14,5,1,2.88,49%,1.73,65%,2.28,34%,60%,1.3,75%,24,18,6,0,7.36,56%,5.57,43%,1.24,23%,61%,1.1
Fernando Padilla,Luis Pajuelo,Featherweight,SUB D'Arce Choke,1,2:45,Win,76%,21,16,5,0,6.48,42%,5.25,53%,0,0%,100%,0.8,80%,10,8,2,0,6.03,57%,8.2,52%,0,0%,66%,0
